,,Skill / Job Role(Historical trends & salary statistics),Rank6 Months to3 Mar 2019,RankChangeYear-on-Year,Median Salary6 Months to3 Mar 2019,Median Salary% ChangeYear-on-Year,HistoricalPermanentJob Ads,LiveJobVacancies
1,NA,Agile Software Development,1,1,"£55,000",4.76%,"45,689 (30.59%)","8,070"
2,NA,Developer,2,-1,"£50,000",5.26%,"43,056 (28.83%)","10,213"
3,NA,Finance,3,0,"£60,000",9.09%,"30,264 (20.27%)","5,048"
4,NA,SQL,4,0,"£48,500",7.77%,"29,842 (19.98%)","5,498"
5,NA,JavaScript,5,0,"£50,000",11.11%,"25,975 (17.39%)","6,163"
6,NA,C#,6,1,"£50,000",11.11%,"25,003 (16.74%)","5,019"
7,NA,Microsoft,7,-1,"£45,000",-,"24,793 (16.60%)","5,630"
8,NA,Java,8,1,"£57,500",4.54%,"23,503 (15.74%)","4,086"
9,NA,.NET,9,-1,"£50,000",11.11%,"22,066 (14.78%)","4,592"
10,NA,Windows,10,2,"£42,000",5.00%,"19,901 (13.33%)","3,416"
11,NA,Analyst,11,2,"£41,000",2.50%,"19,097 (12.79%)","2,466"
12,NA,SQL Server,12,-2,"£47,500",5.55%,"18,691 (12.52%)","3,655"
13,NA,HTML,13,-2,"£45,000",-,"18,437 (12.35%)","4,519"
14,NA,Degree,14,0,"£47,500",-,"18,196 (12.18%)","4,409"
15,NA,Microsoft Azure,15,12,"£57,500",9.52%,"17,333 (11.61%)","3,363"
16,NA,CSS,16,-1,"£46,000",2.22%,"16,408 (10.99%)","4,092"
17,NA,Python,17,4,"£60,000",9.09%,"16,098 (10.78%)","3,416"
18,NA,Amazon AWS,18,7,"£62,500",4.16%,"15,707 (10.52%)","3,286"
19,NA,Linux,19,-3,"£52,500",5.00%,"15,672 (10.49%)","3,281"
20,NA,Software Engineering,20,2,"£52,500",5.00%,"15,335 (10.27%)","3,374"
21,NA,Problem-Solving,21,-3,"£47,500",5.55%,"14,817 (9.92%)","3,126"
22,NA,DevOps,22,9,"£62,500",2.04%,"13,247 (8.87%)","2,812"
23,NA,Scrum,23,-3,"£55,000",4.76%,"13,030 (8.73%)","2,342"
24,NA,AngularJS,24,-1,"£52,500",10.52%,"11,696 (7.83%)","2,584"
25,NA,MVC,25,-8,"£47,500",5.55%,"11,578 (7.75%)","2,524"
26,NA,TDD,26,-7,"£55,000",10.00%,"11,557 (7.74%)","2,291"
27,NA,Analytical Skills,27,-1,"£49,812",4.86%,"11,549 (7.73%)","2,367"
28,NA,Project Management,28,0,"£55,000",4.76%,"11,016 (7.38%)","1,762"
29,NA,Test Automation,29,4,"£50,000",-,"10,588 (7.09%)","1,928"
30,NA,Active Directory,30,4,"£37,500",5.63%,"10,370 (6.94%)","1,438"
31,NA,Git (software),31,1,"£50,000",-,"10,223 (6.85%)","2,500"
32,NA,ITIL,32,-2,"£45,000",-,"10,213 (6.84%)","1,136"
33,NA,ASP.NET,33,-9,"£47,500",5.55%,"10,205 (6.83%)","2,250"
34,NA,Analytics,34,10,"£55,000",-,"9,622 (6.44%)","1,789"
35,NA,.NET Developer,35,-6,"£47,500",9.19%,"9,033 (6.05%)","1,858"
36,NA,Computer Science,36,1,"£50,000",3.09%,"8,984 (6.02%)","1,887"
37,NA,Business Intelligence,37,2,"£50,000",-,"8,724 (5.84%)","1,460"
38,NA,Architect,38,14,"£75,000",-,"8,557 (5.73%)","1,690"
39,NA,Oracle,39,-3,"£55,000",10.00%,"8,484 (5.68%)","1,361"
40,NA,Stakeholder Management,40,0,"£57,500",4.54%,"8,430 (5.64%)","1,015"
41,NA,Web Services,41,-3,"£52,500",5.00%,"8,331 (5.58%)","1,600"
