"Breach_ID","Risk_Score","Industry","Records_Breached","Breach_Date","Breach_Type","Breach_Source","Location","Risk_Severity"
1,10,"Financial","14,79,00,000","2017-07-15","Identity Theft","Malicious Outsider","United States","Catastrophic"
2,10,"Social Media","2,20,00,00,000","2018-04-04","Identity Theft","Malicious Outsider","United States","Catastrophic"
3,9.8,"Hospitality","38,30,00,000","2018-09-08","Identity Theft","Malicious Outsider","United States","Catastrophic"
4,9.8,"Other","1,34,00,00,000","2017-03-06","Nuisance","Accidental Loss","United States","Catastrophic"
5,9.5,"Other","20,00,00,000","2018-07-01","Identity Theft","Malicious Outsider","United States","Catastrophic"
6,9.6,"Government","19,80,00,000","2017-06-13","Identity Theft","Accidental Loss","United States","Catastrophic"
7,9.3,"Hospitality","13,00,00,000","2018-08-28","Identity Theft","Malicious Outsider","China","Catastrophic"
8,9.4,"Professional Services","14,30,00,000","2017-10-01","Identity Theft","Malicious Outsider","United States","Catastrophic"
9,9.1,"Other","34,00,00,000","2018-06-01","Identity Theft","Accidental Loss","United States","Catastrophic"
10,9.4,"Entertainment","2,87,22,877","2017-09-05","Account Access","Malicious Outsider","Argentina","Catastrophic"
11,9.1,"Retail","15,00,00,000","2018-02-01","Account Access","Malicious Outsider","United States","Catastrophic"
12,9.4,"Education","2,00,00,000","2017-03-22","Identity Theft","Malicious Insider","China","Catastrophic"
13,9,"Social Media","33,60,00,000","2018-05-03","Financial Access","Accidental Loss","United States","Catastrophic"
14,9.4,"Technology","12,30,00,000","2017-12-19","Identity Theft","Accidental Loss","United States","Catastrophic"
15,8.9,"Other","18,01,04,892","2018-11-12","Identity Theft","Accidental Loss","Brazil","Severe"
16,9.2,"Financial","7,50,00,000","2017-11-01","Identity Theft","Accidental Loss","South Africa","Catastrophic"
17,8.9,"Social Media","10,00,00,000","2018-11-30","Account Access","Malicious Outsider","United States","Severe"
18,9.1,"Social Media","1,70,00,000","2017-05-04","Account Access","Malicious Outsider","Global","Catastrophic"
19,8.7,"Other","11,35,00,000","2018-09-01","Identity Theft","Accidental Loss","United States","Severe"
20,9.1,"Other","97,00,000","2017-01-04","Identity Theft","Malicious Insider","United States","Catastrophic"
