"Year","Indicator","Country","Country Code","Weighted Score"
2018," Connectivity","Denmark","DK",20
2018," Connectivity","Sweden","SE",19
2018," Connectivity","Finland","FI",17
2018," Connectivity","Netherlands","NL",20
2018," Connectivity","Luxembourg","LU",20
2018," Connectivity","Ireland","IE",16
2018," Connectivity","United Kingdom","UK",17
2018," Connectivity","Belgium","BE",19
2018," Connectivity","Estonia","EE",16
2018," Connectivity","Spain","ES",16
2018," Connectivity","Austria","AT",16
2018," Connectivity","Malta","MT",18
2018," Connectivity","Lithuania","LT",16
2018," Connectivity","Germany","DE",16
2018," Connectivity","European Union 28","EU28",16
2018," Connectivity","Slovenia","SI",15
2018," Connectivity","Portugal","PT",17
2018," Connectivity","Czech Republic","CZ",16
2018," Connectivity","France","FR",14
2018," Connectivity","Latvia","LV",16
2018," Connectivity","Slovakia","SK",14
2018," Connectivity","Cyprus","CY",15
2018," Connectivity","Croatia","HR",12
2018," Connectivity","Hungary","HU",15
2018," Connectivity","Poland","PL",15
2018," Connectivity","Italy","IT",13
2018," Connectivity","Bulgaria","BG",14
2018," Connectivity","Greece","EL",11
2018," Connectivity","Romania","RO",15
2018," Human Capital","Denmark","DK",18
2018," Human Capital","Sweden","SE",19
2018," Human Capital","Finland","FI",20
2018," Human Capital","Netherlands","NL",19
2018," Human Capital","Luxembourg","LU",18
2018," Human Capital","Ireland","IE",15
2018," Human Capital","United Kingdom","UK",18
2018," Human Capital","Belgium","BE",14
2018," Human Capital","Estonia","EE",15
2018," Human Capital","Spain","ES",14
2018," Human Capital","Austria","AT",16
2018," Human Capital","Malta","MT",13
2018," Human Capital","Lithuania","LT",12
2018," Human Capital","Germany","DE",16
2018," Human Capital","European Union 28","EU28",14
2018," Human Capital","Slovenia","SI",13
2018," Human Capital","Portugal","PT",11
2018," Human Capital","Czech Republic","CZ",14
2018," Human Capital","France","FR",15
2018," Human Capital","Latvia","LV",11
2018," Human Capital","Slovakia","SK",13
2018," Human Capital","Cyprus","CY",11
2018," Human Capital","Croatia","HR",12
2018," Human Capital","Hungary","HU",12
2018," Human Capital","Poland","PL",12
2018," Human Capital","Italy","IT",10
2018," Human Capital","Bulgaria","BG",9
2018," Human Capital","Greece","EL",10
2018," Human Capital","Romania","RO",8
2018," Use of Internet","Denmark","DK",11
2018," Use of Internet","Sweden","SE",11
2018," Use of Internet","Finland","FI",10
2018," Use of Internet","Netherlands","NL",10
2018," Use of Internet","Luxembourg","LU",10
2018," Use of Internet","Ireland","IE",8
2018," Use of Internet","United Kingdom","UK",9
2018," Use of Internet","Belgium","BE",8
2018," Use of Internet","Estonia","EE",9
2018," Use of Internet","Spain","ES",7
2018," Use of Internet","Austria","AT",7
2018," Use of Internet","Malta","MT",9
2018," Use of Internet","Lithuania","LT",9
2018," Use of Internet","Germany","DE",8
2018," Use of Internet","European Union 28","EU28",8
2018," Use of Internet","Slovenia","SI",7
2018," Use of Internet","Portugal","PT",7
2018," Use of Internet","Czech Republic","CZ",7
2018," Use of Internet","France","FR",6
2018," Use of Internet","Latvia","LV",8
2018," Use of Internet","Slovakia","SK",8
2018," Use of Internet","Cyprus","CY",8
2018," Use of Internet","Croatia","HR",8
2018," Use of Internet","Hungary","HU",8
2018," Use of Internet","Poland","PL",6
2018," Use of Internet","Italy","IT",6
2018," Use of Internet","Bulgaria","BG",6
2018," Use of Internet","Greece","EL",7
2018," Use of Internet","Romania","RO",5
2018," Integration of Digital Technology","Denmark","DK",12
2018," Integration of Digital Technology","Sweden","SE",11
