Skills,HistoricalAds,LiveJobVacancy,Country,SkillCategory
Agile Software Development,"45,689 (30.59%)","8,070",UK,Other IT jobs
Developer,"43,056 (28.83%)","10,213",UK,Other IT jobs
Finance,"30,264 (20.27%)","5,048",UK,Other IT jobs
SQL,"29,842 (19.98%)","5,498",UK,Cyber Security Programming
JavaScript,"25,975 (17.39%)","6,163",UK,Cyber Security Programming
C#,"25,003 (16.74%)","5,019",UK,Other IT jobs
Microsoft,"24,793 (16.60%)","5,630",UK,Other IT jobs
Java,"23,503 (15.74%)","4,086",UK,Security Specialist
.NET,"22,066 (14.78%)","4,592",UK,Other IT jobs
Windows,"19,901 (13.33%)","3,416",UK,Other IT jobs
Analyst,"19,097 (12.79%)","2,466",UK,Other IT jobs
SQL Server,"18,691 (12.52%)","3,655",UK,Cyber Security Programming
HTML,"18,437 (12.35%)","4,519",UK,Other IT jobs
Degree,"18,196 (12.18%)","4,409",UK,Other IT jobs
Microsoft Azure,"17,333 (11.61%)","3,363",UK,Other IT jobs
CSS,"16,408 (10.99%)","4,092",UK,Other IT jobs
Python,"16,098 (10.78%)","3,416",UK,Cyber Security Programming
Amazon AWS,"15,707 (10.52%)","3,286",UK,Other IT jobs
Linux,"15,672 (10.49%)","3,281",UK,Security Specialist
Software Engineering,"15,335 (10.27%)","3,374",UK,Cyber Security Programming
Problem-Solving,"14,817 (9.92%)","3,126",UK,Other IT jobs
DevOps,"13,247 (8.87%)","2,812",UK,Other IT jobs
Scrum,"13,030 (8.73%)","2,342",UK,Other IT jobs
AngularJS,"11,696 (7.83%)","2,584",UK,Other IT jobs
MVC,"11,578 (7.75%)","2,524",UK,Other IT jobs
TDD,"11,557 (7.74%)","2,291",UK,Other IT jobs
Analytical Skills,"11,549 (7.73%)","2,367",UK,Other IT jobs
Project Management,"11,016 (7.38%)","1,762",UK,Other IT jobs
Test Automation,"10,588 (7.09%)","1,928",UK,Other IT jobs
Active Directory,"10,370 (6.94%)","1,438",UK,Other IT jobs
Git (software),"10,223 (6.85%)","2,500",UK,Other IT jobs
ITIL,"10,213 (6.84%)","1,136",UK,Other IT jobs
ASP.NET,"10,205 (6.83%)","2,250",UK,Other IT jobs
Analytics,"9,622 (6.44%)","1,789",UK,Other IT jobs
.NET Developer,"9,033 (6.05%)","1,858",UK,Other IT jobs
Computer Science,"8,984 (6.02%)","1,887",UK,Other IT jobs
Business Intelligence,"8,724 (5.84%)","1,460",UK,Other IT jobs
Architect,"8,557 (5.73%)","1,690",UK,Other IT jobs
Oracle,"8,484 (5.68%)","1,361",UK,Other IT jobs
Stakeholder Management,"8,430 (5.64%)","1,015",UK,Other IT jobs
Web Services,"8,331 (5.58%)","1,600",UK,Cyber Security
Mentoring,"8,270 (5.54%)","1,525",UK,Other IT jobs
Continuous Integration,"8,134 (5.45%)","1,543",UK,Other IT jobs
Banking,"8,025 (5.37%)",937,UK,Other IT jobs
Docker,"8,018 (5.37%)","1,965",UK,Other IT jobs
QA,"7,874 (5.27%)","1,419",UK,Other IT jobs
SDLC,"7,749 (5.19%)","1,270",UK,Other IT jobs
Microservices,"7,738 (5.18%)","1,423",UK,Other IT jobs
VMware,"7,691 (5.15%)","1,353",UK,Other IT jobs
Java Developer,"7,630 (5.11%)","1,262",UK,Security Specialist
Senior Developer,"7,470 (5.00%)","1,497",UK,Other IT jobs
C# Developer,"7,435 (4.98%)","1,362",UK,Other IT jobs
C++,"7,326 (4.91%)","1,907",UK,Other IT jobs
Office 365,"7,289 (4.88%)","1,230",UK,Other IT jobs
Retail,"7,257 (4.86%)","1,638",UK,Other IT jobs
React,"7,237 (4.85%)","1,754",UK,Other IT jobs
Marketing,"7,182 (4.81%)","1,875",UK,Other IT jobs
User Experience,"7,122 (4.77%)","1,634",UK,Other IT jobs
Windows Server,"7,118 (4.77%)","1,222",UK,Other IT jobs
Consultant,"7,094 (4.75%)","1,697",UK,Other IT jobs
Firewall,"6,834 (4.58%)","1,180",UK,Firewall Analyst
Cisco,"6,597 (4.42%)","1,193",UK,Other IT jobs
Software Engineer,"6,410 (4.29%)","1,690",UK,Other IT jobs
OO,"6,317 (4.23%)","1,379",UK,Other IT jobs
PHP,"6,299 (4.22%)","1,752",UK,Cyber Security Programming
jQuery,"6,250 (4.19%)","1,565",UK,Other IT jobs
Node.js,"6,250 (4.19%)","1,611",UK,Other IT jobs
HTML5,"6,132 (4.11%)","1,575",UK,Other IT jobs
Web Development,"6,131 (4.11%)","1,677",UK,Other IT jobs
Microsoft Office,"6,088 (4.08%)","1,007",UK,Other IT jobs
Jenkins,"6,061 (4.06%)","1,336",UK,Other IT jobs
MySQL,"5,978 (4.00%)","1,429",UK,Cyber Security Programming
JIRA,"5,856 (3.92%)","1,081",UK,Other IT jobs
Fintech,"5,773 (3.87%)",862,UK,Other IT jobs
Spring,"5,708 (3.82%)","1,093",UK,Other IT jobs
Continuous Improvement,"5,671 (3.80%)","1,008",UK,Other IT jobs
BDD,"5,664 (3.79%)","1,047",UK,Other IT jobs
RESTful,"5,637 (3.77%)","1,201",UK,Security Specialist
CRM,"5,548 (3.72%)","1,209",UK,Other IT jobs
ASP.NET MVC,"5,474 (3.67%)","1,151",UK,Other IT jobs
Security Cleared,"5,419 (3.63%)","1,537",UK,Other IT jobs
E-Commerce,"5,409 (3.62%)","1,119",UK,Other IT jobs
Greenfield Project,"5,387 (3.61%)",998,UK,Other IT jobs
REST,"5,338 (3.57%)","1,150",UK,Security Specialist
Big Data,"5,285 (3.54%)",907,UK,Other IT jobs
Software Developer,"5,281 (3.54%)","1,369",UK,Other IT jobs
Information Security,"5,227 (3.50%)",671,UK,Information Security
Project Manager,"5,134 (3.44%)",772,UK,Other IT jobs
Business Analyst,"5,065 (3.39%)",512,UK,Other IT jobs
SAP,"5,037 (3.37%)",801,UK,Other IT jobs
PowerShell,"5,010 (3.35%)",916,UK,Other IT jobs
C,"4,990 (3.34%)","1,591",UK,Cyber Security Programming
Front End Development,"4,962 (3.32%)","1,314",UK,Other IT jobs
NoSQL,"4,927 (3.30%)",877,UK,Cyber Security Programming
Coaching,"4,896 (3.28%)",757,UK,Other IT jobs
Self-Motivation,"4,861 (3.26%)","1,122",UK,Other IT jobs
VMware Infrastructure,"4,860 (3.25%)",872,UK,Other IT jobs
SaaS,"4,849 (3.25%)",883,UK,Other IT jobs
Unix,"4,777 (3.20%)",764,UK,Other IT jobs
Cybersecurity,"4,756 (3.18%)",996,UK,Other IT jobs
Machine Learning,"4,731 (3.17%)",820,UK,Other IT jobs
Migration,"4,658 (3.12%)","1,116",UK,Other IT jobs
XML,"4,655 (3.12%)",855,UK,Other IT jobs
Google,"4,556 (3.05%)","1,122",UK,Other IT jobs
Telecoms,"4,523 (3.03%)",810,UK,Other IT jobs
T-SQL,"4,519 (3.03%)",801,UK,Cyber Security Programming
Mathematics,"4,496 (3.01%)","1,221",UK,Other IT jobs
C# .NET Developer,"4,494 (3.01%)",808,UK,Other IT jobs
Kubernetes,"4,480 (3.00%)","1,228",UK,Other IT jobs
ASP.NET Web API,"4,454 (2.98%)",915,UK,Other IT jobs
Ansible,"4,401 (2.95%)",926,UK,Other IT jobs
Change Management,"4,384 (2.94%)",543,UK,Other IT jobs
Service Delivery,"4,300 (2.88%)",542,UK,Other IT jobs
